District,GW_May,CASA_Pred_1yr,CASA_Pred_3yr,CASA_Pred_5yr,GW_Trend_m_per_yr,GW_Dep_Ratio,Canal_Dep_Ratio,SW_Monsoon_Actual_mm,SW_Monsoon_Normal_mm,NE_Monsoon_Actual_mm,NE_Monsoon_Normal_mm,Annual_Actual_mm,Annual_Normal_mm,Recommended_Crop,Primary_Transition_Crop,Secondary_Transition_Crop,Potential_Water_Saving_pct,Current_Water_Req_Lkg,Recommended_Water_Req_Lkg,Current_Water_Burden_Lkg,Target_Water_Burden_Lkg,Leading_Current_Crop,GW_Severity,Current_Rice_pct,Current_Groundnut_pct,Current_Jowar_pct,Current_Bajra_pct,Current_Maize_pct,Target_Rice_pct,Target_Groundnut_pct,Target_Jowar_pct,Target_Bajra_pct,Target_Maize_pct,Rice_weight,Groundnut_weight,Jowar_weight,Bajra_weight,Maize_weight,Tier,Tier_Label,Tier_Color,Feasibility_Score,Feasibility_Label,Rec_Crop_Original,Recommendation_Type,Recommendation_Text,Flood_Risk,Flood_Actions,Drought_Fallback_Crop,Drought_Risk,Drought_Actions,Policy_Narrative,SHAP_Top_Driver,SHAP_Top_Value,SHAP_Top_Driver_Label
Thiruvarur,3.58,3.547477,2.820334149769374,2.093191292626517,0.1502727272727169,0.0,1.0,229.1,297.2,597.9,725.4,1131.3,1172.2,Rice,Rice,,0.0,2500,2500,2482.0,2482.0,Rice,Stable/recovering,98.8,1.2,0.0,0.0,0.0,98.8,1.2,0.0,0.0,0.0,0.9881929184695196,0.0117481820447183,0.0,0.0,5.8899485762182e-05,4,"Stable (canal-fed, low GW pressure)",#27ae60,61.0,Medium,Rice,Maintain,Maintain current crop mix — district is canal-fed with low groundwater pressure.,LOW,Proceed with standard Samba sowing calendar. Monitor NE monsoon progress weekly from October 1.,Rice,LOW,Proceed with standard Kuruvai calendar. Monitor SW monsoon progress bi-weekly from May 1. Fallback option if deficit develops: Rice.,"Thiruvarur is classified as Tier 4 (Stable (canal-fed, low GW pressure)). The predicted groundwater depth is 3.55m in 2026 and 2.09m by 2028. The water table is currently broadly stable with minor year-on-year fluctuations. The district is 0% groundwater-dependent for irrigation. Primary SHAP analysis indicates: cumulative seasonal depletion memory is driving depletion upward; long-term structural decline trend is moderating depletion; seasonal groundwater volatility is driving depletion upward. Recommended transition to Rice could reduce water consumption by 0% per kilogram of output.",LSTM_Memory,0.0668332495105655,cumulative seasonal depletion memory
Thoothukudi,4.05,5.630916,4.90520183290754,4.179487547193255,-0.13245454545452637,0.512035243226029,0.25408030572437035,56.4,67.3,594.7,402.9,801.1,612.2,Maize,Jowar,Maize,4.0,1200,700,1265.0,1214.0,Maize,Stable/recovering,15.9,1.0,10.2,11.1,61.9,12.7,1.3,12.1,11.1,62.9,0.1587849542192526,0.0096510764662212,0.1021281860925513,0.1107151695124969,0.6187206137094778,2,Plan Now (within 3 years),#e67e22,36.7,Low,Jowar,Maintain,Maintain current crop mix — water saving from any transition is below 10% and does not justify agricultural disruption at this time.,LOW,Proceed with standard Samba sowing calendar. Monitor NE monsoon progress weekly from October 1.,Bajra,LOW,Proceed with standard Kuruvai calendar. Monitor SW monsoon progress bi-weekly from May 1. Fallback option if deficit develops: Bajra.,Thoothukudi is classified as Tier 2 (Plan Now (within 3 years)). The predicted groundwater depth is 5.63m in 2026 and 4.18m by 2028. The water table is currently recovering at 0.13 metres per year. The district is 51% groundwater-dependent for irrigation. Primary SHAP analysis indicates: cumulative seasonal depletion memory is driving depletion upward; long-term structural decline trend is moderating depletion; seasonal groundwater volatility is driving depletion upward. Recommended transition to Maize could reduce water consumption by 4% per kilogram of output.,LSTM_Memory,0.0439463440644742,cumulative seasonal depletion memory
Tiruchirappalli,5.18,8.415247,6.645961249215263,4.876675534929549,-0.18272727272724157,0.745566833802128,0.21912070441482207,270.2,276.3,202.6,379.4,641.2,774.9,Jowar,Jowar,Bajra,11.2,2500,700,1798.0,1595.0,Rice,Stable/recovering,55.8,5.8,23.3,0.0,15.1,44.7,6.8,28.4,3.7,16.4,0.5582931020374765,0.0578348743965305,0.2325177972342688,0.0003354880942639,0.1510187382374601,1,Act Now (within 1 year),#c0392b,49.6,Medium,Jowar,Switch,"Transition to Jowar and Bajra — 11% blended water saving. Target mix: Rice 56%→45%, Jowar 23%→28%, Bajra 0%→4%. Prioritise in Samba season. Coordinate with block agricultural officer.",LOW,Proceed with standard Samba sowing calendar. Monitor NE monsoon progress weekly from October 1.,Jowar,HIGH,SW monsoon 2% below normal with GW at 8.4m and 75% groundwater dependency. Mandatory switch to Jowar for Kuruvai season (short-duration variety). Restrict pump operation to 6 hours per day from June 1. Activate district drought relief fund and MNREGS water conservation works. Prioritise drinking water supply over irrigation from May 15.,Tiruchirappalli is classified as Tier 1 (Act Now (within 1 year)). The predicted groundwater depth is 8.42m in 2026 and 4.88m by 2028. The water table is currently recovering at 0.18 metres per year. The district is 75% groundwater-dependent for irrigation. Primary SHAP analysis indicates: cumulative seasonal depletion memory is driving depletion upward; seasonal groundwater volatility is driving depletion upward; Rice cultivation expansion is moderating depletion. Recommended transition to Jowar could reduce water consumption by 11% per kilogram of output.,LSTM_Memory,0.0211372561752795,cumulative seasonal depletion memory
Tirunelveli,4.08,5.847971,5.420113819667272,4.992256676810128,-0.1567272727272523,0.4650698958240584,0.18436470483483217,208.9,92.5,1329.6,514.9,1872.2,795.8,Jowar,Jowar,Bajra,14.0,2500,700,2460.0,2117.0,Rice,Slow depletion,97.2,0.9,0.4,0.0,1.4,77.8,3.8,7.2,6.4,4.8,0.9724578667571542,0.008652867322701,0.0044960977265015,0.0001413867209591,0.014251781472684,2,Plan Now (within 3 years),#e67e22,33.4,Low,Jowar,Switch,"Transition to Jowar and Bajra — 14% blended water saving. Target mix: Rice 97%→78%, Groundnut 1%→4%, Jowar 0%→7%, Bajra 0%→6%, Maize 1%→5%. Prioritise in Samba season. Coordinate with block agricultural officer.",LOW,Proceed with standard Samba sowing calendar. Monitor NE monsoon progress weekly from October 1.,Rice,LOW,Proceed with standard Kuruvai calendar. Monitor SW monsoon progress bi-weekly from May 1. Fallback option if deficit develops: Rice.,Tirunelveli is classified as Tier 2 (Plan Now (within 3 years)). The predicted groundwater depth is 5.85m in 2026 and 4.99m by 2028. The water table is currently recovering at 0.16 metres per year. The district is 47% groundwater-dependent for irrigation. Primary SHAP analysis indicates: cumulative seasonal depletion memory is moderating depletion; long-term structural decline trend is moderating depletion; Bajra cultivation share is moderating depletion. Recommended transition to Jowar could reduce water consumption by 14% per kilogram of output.,LSTM_Memory,-0.0430165672334574,cumulative seasonal depletion memory
Tirupathur,4.06,6.764424,5.063709561484201,3.362995275769915,-2.9500000000004634,1.0,0.0,487.2,425.7,141.7,266.3,817.7,817.6,Bajra,Bajra,Jowar,8.6,1000,400,1466.0,1340.0,Groundnut,Stable/recovering,34.5,46.8,9.7,5.0,3.9,27.6,48.5,12.2,7.6,4.0,0.3452647278150634,0.4684137637157771,0.0971201306771776,0.0502467952132381,0.0389545825787436,2,Plan Now (within 3 years),#e67e22,32.4,Low,Bajra,Switch,"Transition to Bajra and Jowar — 9% blended water saving. Target mix: Rice 34%→28%, Jowar 10%→12%, Bajra 5%→8%. Prioritise in Samba season. Coordinate with block agricultural officer.",LOW,Proceed with standard Samba sowing calendar. Monitor NE monsoon progress weekly from October 1.,Bajra,HIGH,SW monsoon -14% below normal with GW at 6.8m and 100% groundwater dependency. Mandatory switch to Bajra for Kuruvai season (short-duration variety). Restrict pump operation to 6 hours per day from June 1. Activate district drought relief fund and MNREGS water conservation works. Prioritise drinking water supply over irrigation from May 15.,Tirupathur is classified as Tier 2 (Plan Now (within 3 years)). The predicted groundwater depth is 6.76m in 2026 and 3.36m by 2028. The water table is currently recovering at 2.95 metres per year. The district is 100% groundwater-dependent for irrigation. Primary SHAP analysis indicates: long-term structural decline trend is moderating depletion; cumulative seasonal depletion memory is driving depletion upward; seasonal groundwater volatility is driving depletion upward. Recommended transition to Bajra could reduce water consumption by 9% per kilogram of output.,ARIMA_Fitted,-0.0347426890873083,long-term structural decline trend
Tiruppur,7.13,8.269832,6.988403085981096,5.706974514552524,-0.2327727272726841,0.7661290322580645,0.22502187754609373,73.6,155.9,329.8,305.7,603.7,599.5,Jowar,Bajra,,4.6,700,400,1133.0,1081.0,Jowar,Stable/recovering,14.4,11.0,46.0,0.2,28.5,11.5,11.5,46.0,1.9,29.1,0.1436899104873466,0.1097635097800862,0.4604514310973588,0.0015609459608796,0.2845342026743286,1,Act Now (within 1 year),#c0392b,32.2,Low,Bajra,Maintain,Maintain current crop mix — water saving from any transition is below 10% and does not justify agricultural disruption at this time.,LOW,Proceed with standard Samba sowing calendar. Monitor NE monsoon progress weekly from October 1.,Jowar,HIGH,SW monsoon 53% below normal with GW at 8.3m and 77% groundwater dependency. Mandatory switch to Jowar for Kuruvai season (short-duration variety). Restrict pump operation to 6 hours per day from June 1. Activate district drought relief fund and MNREGS water conservation works. Prioritise drinking water supply over irrigation from May 15.,Tiruppur is classified as Tier 1 (Act Now (within 1 year)). The predicted groundwater depth is 8.27m in 2026 and 5.71m by 2028. The water table is currently recovering at 0.23 metres per year. The district is 77% groundwater-dependent for irrigation. Primary SHAP analysis indicates: long-term structural decline trend is driving depletion upward; cumulative seasonal depletion memory is driving depletion upward; Rice cultivation expansion is moderating depletion. Recommended transition to Jowar could reduce water consumption by 5% per kilogram of output.,ARIMA_Fitted,0.0937115235869447,long-term structural decline trend
Tiruvannamalai,4.42,6.4905457,4.792688606807165,3.0948314639500216,-0.0979090909090771,0.9436353857997026,0.0,628.0,450.5,276.5,450.4,1203.4,1019.7,Bajra,Bajra,Jowar,12.5,2500,400,2048.0,1791.0,Rice,Stable/recovering,70.1,27.9,0.0,0.9,1.1,56.1,31.4,4.8,6.3,1.4,0.7006756645813835,0.2793130059274584,9.03075382165082e-05,0.0091046418074643,0.0108163801454772,2,Plan Now (within 3 years),#e67e22,29.7,Low,Bajra,Switch,"Transition to Bajra and Jowar — 12% blended water saving. Target mix: Rice 70%→56%, Groundnut 28%→31%, Jowar 0%→5%, Bajra 1%→6%. Prioritise in Samba season. Coordinate with block agricultural officer.",LOW,Proceed with standard Samba sowing calendar. Monitor NE monsoon progress weekly from October 1.,Groundnut,HIGH,SW monsoon -39% below normal with GW at 6.5m and 94% groundwater dependency. Mandatory switch to Groundnut for Kuruvai season (short-duration variety). Restrict pump operation to 6 hours per day from June 1. Activate district drought relief fund and MNREGS water conservation works. Prioritise drinking water supply over irrigation from May 15.,Tiruvannamalai is classified as Tier 2 (Plan Now (within 3 years)). The predicted groundwater depth is 6.49m in 2026 and 3.09m by 2028. The water table is currently broadly stable with minor year-on-year fluctuations. The district is 94% groundwater-dependent for irrigation. Primary SHAP analysis indicates: cumulative seasonal depletion memory is moderating depletion; long-term structural decline trend is moderating depletion; seasonal groundwater volatility is driving depletion upward. Recommended transition to Bajra could reduce water consumption by 12% per kilogram of output.,LSTM_Memory,-0.0307427067205596,cumulative seasonal depletion memory
Vellore,4.4,7.049131,5.476273773738317,3.903416630881174,-0.25981818181815197,0.9996809044080777,4.558508456033186e-05,573.6,431.3,286.7,375.8,1100.2,925.5,Bajra,Bajra,Jowar,8.4,1000,400,1483.0,1358.0,Groundnut,Stable/recovering,34.2,54.1,9.3,0.9,1.6,27.3,55.8,11.8,3.4,1.7,0.341594903031576,0.5412378351886858,0.0928726458027025,0.0085766295596163,0.0157179864174193,2,Plan Now (within 3 years),#e67e22,30.2,Low,Bajra,Switch,"Transition to Bajra and Jowar — 8% blended water saving. Target mix: Rice 34%→27%, Jowar 9%→12%, Bajra 1%→3%. Prioritise in Samba season. Coordinate with block agricultural officer.",LOW,Proceed with standard Samba sowing calendar. Monitor NE monsoon progress weekly from October 1.,Jowar,HIGH,SW monsoon -33% below normal with GW at 7.0m and 100% groundwater dependency. Mandatory switch to Jowar for Kuruvai season (short-duration variety). Restrict pump operation to 6 hours per day from June 1. Activate district drought relief fund and MNREGS water conservation works. Prioritise drinking water supply over irrigation from May 15.,Vellore is classified as Tier 2 (Plan Now (within 3 years)). The predicted groundwater depth is 7.05m in 2026 and 3.90m by 2028. The water table is currently recovering at 0.26 metres per year. The district is 100% groundwater-dependent for irrigation. Primary SHAP analysis indicates: cumulative seasonal depletion memory is driving depletion upward; long-term structural decline trend is moderating depletion; Groundnut cultivation share is moderating depletion. Recommended transition to Bajra could reduce water consumption by 8% per kilogram of output.,LSTM_Memory,0.039675292571086,cumulative seasonal depletion memory
Villupuram,4.28,6.2637,4.448700008392334,2.6337000083923336,-0.09563636363634902,0.848919242304166,0.006759591627429957,556.1,395.0,353.5,531.3,1177.2,1012.6,Bajra,Bajra,Jowar,13.1,2500,400,2049.0,1781.0,Rice,Stable/recovering,72.5,20.4,0.0,6.6,0.4,58.0,23.9,4.8,12.7,0.7,0.7250385218903292,0.2042367011125404,7.775060433424278e-05,0.0662152419457442,0.0044317844470518,2,Plan Now (within 3 years),#e67e22,33.3,Low,Bajra,Switch,"Transition to Bajra and Jowar — 13% blended water saving. Target mix: Rice 72%→58%, Groundnut 20%→24%, Jowar 0%→5%, Bajra 7%→13%. Prioritise in Samba season. Coordinate with block agricultural officer.",LOW,Proceed with standard Samba sowing calendar. Monitor NE monsoon progress weekly from October 1.,Bajra,HIGH,SW monsoon -41% below normal with GW at 6.3m and 85% groundwater dependency. Mandatory switch to Bajra for Kuruvai season (short-duration variety). Restrict pump operation to 6 hours per day from June 1. Activate district drought relief fund and MNREGS water conservation works. Prioritise drinking water supply over irrigation from May 15.,Villupuram is classified as Tier 2 (Plan Now (within 3 years)). The predicted groundwater depth is 6.26m in 2026 and 2.63m by 2028. The water table is currently broadly stable with minor year-on-year fluctuations. The district is 85% groundwater-dependent for irrigation. Primary SHAP analysis indicates: long-term structural decline trend is moderating depletion; cumulative seasonal depletion memory is moderating depletion; seasonal groundwater volatility is driving depletion upward. Recommended transition to Bajra could reduce water consumption by 13% per kilogram of output.,ARIMA_Fitted,-0.0291653543208842,long-term structural decline trend
Virudhunagar,6.0,7.4102325,5.101661115373885,2.793089686802457,-0.06209090909088769,0.5491770090661033,0.0,240.2,196.4,660.0,398.5,1242.7,773.9,Jowar,Jowar,Bajra,8.0,1200,700,1554.0,1429.0,Maize,Stable/recovering,34.9,4.6,15.2,1.8,43.5,27.9,5.1,17.9,4.3,44.8,0.3491824334337796,0.0460406066294521,0.1520772612755026,0.0179197747369461,0.4347799239243195,2,Plan Now (within 3 years),#e67e22,38.8,Low,Jowar,Switch,"Transition to Jowar and Bajra — 8% blended water saving. Target mix: Rice 35%→28%, Jowar 15%→18%, Bajra 2%→4%. Prioritise in Samba season. Coordinate with block agricultural officer.",LOW,Proceed with standard Samba sowing calendar. Monitor NE monsoon progress weekly from October 1.,Jowar,MEDIUM,SW monsoon -22% below normal. Recommend switching to Jowar for Kuruvai as risk mitigation. Advise farmers to delay Kuruvai planting by 2 weeks pending June rainfall. Restrict pump hours to 8 hours per day if GW drops below 8.4m.,Virudhunagar is classified as Tier 2 (Plan Now (within 3 years)). The predicted groundwater depth is 7.41m in 2026 and 2.79m by 2028. The water table is currently broadly stable with minor year-on-year fluctuations. The district is 55% groundwater-dependent for irrigation. Primary SHAP analysis indicates: cumulative seasonal depletion memory is driving depletion upward; long-term structural decline trend is driving depletion upward; seasonal groundwater volatility is driving depletion upward. Recommended transition to Jowar could reduce water consumption by 8% per kilogram of output.,LSTM_Memory,0.199425066424119,cumulative seasonal depletion memory
